,Rok,Miesiąc,sum_rain
596,2009,7,15183.400000000007
597,1989,3,5030.700000000001
598,2008,11,5993.399999999986
599,2017,5,4921.400000000004
600,1966,12,8252.800000000027
601,1959,11,2290.5999999999985
602,2009,3,12729.000000000036
603,2006,11,11506.700000000086
604,2013,11,9404.500000000067
605,1977,3,6450.200000000009
606,2018,11,1305.8000000000006
607,2021,9,3727.999999999997
608,1996,1,2948.7999999999856
609,1982,3,2211.7999999999943
610,1978,8,16238.800000000037
611,2014,7,18155.79999999995
612,2016,3,2749.6999999999925
613,1997,3,4951.8000000000075
614,1985,12,9360.400000000001
615,1980,10,14271.800000000008
616,2016,6,4895.0000000000055
617,1988,2,8149.70000000003
618,1974,2,3993.1999999999925
619,1963,9,15507.50000000002
620,1987,12,10338.30000000005
621,1976,9,10310.500000000018
622,2018,6,6699.500000000011
623,2000,10,2899.7999999999934
624,1983,8,7369.4999999999945
625,1958,3,5310.000000000005
626,2014,10,7413.700000000018
627,2019,7,4175.299999999992
628,1962,3,8855.300000000052
629,1962,4,8990.500000000031
630,1981,6,14152.400000000032
631,1978,6,9819.699999999999
632,1976,5,9898.100000000011
633,1990,6,12945.800000000023
634,1987,2,3979.8999999999887
635,1970,5,9454.500000000025
636,1975,7,15841.500000000024
637,1951,10,211.79999999999993
638,2015,5,8863.900000000023
639,1963,4,5813.000000000008
640,1961,11,10056.40000000002
641,1995,11,7938.500000000015
642,1986,8,16460.90000000001
643,1973,3,2859.199999999994
644,1967,11,5156.799999999989
645,1958,4,5067.400000000003
646,1953,1,4627.699999999996
647,1953,8,4931.299999999996
648,2021,11,2494.0999999999967
649,1994,11,7353.800000000002
650,1976,12,5945.200000000007
651,1951,12,2117.2999999999975
652,2004,2,10226.700000000046
653,2012,11,6787.200000000001
654,2003,2,2623.099999999984
655,1992,4,8779.800000000027
656,1998,4,12438.000000000051
657,1981,12,8190.7000000000235
658,1971,11,5617.399999999996
659,2010,1,6392.600000000024
660,2000,3,14942.200000000052
661,1972,2,1274.9999999999998
662,1980,1,2422.999999999997
663,2001,6,17837.999999999985
664,2005,8,15863.70000000004
665,2016,12,4154.499999999988
666,1971,4,5337.700000000001
667,2003,5,12375.800000000027
668,1960,5,6249.100000000007
669,2008,2,4305.8999999999905
670,2015,1,7043.000000000011
671,1983,3,8403.70000000002
672,2010,3,5803.699999999995
673,2012,6,17202.50000000002
